"Timestamp";"Elapsed Time";"Used Memory from Application (bytes)";"Used System`s RAM (MB)";"Used System`s RAM (%)";"Used System`s CPU (%)";"Battery Level";"Profiling Type"
"1663328279319";"00:00:00.011";"41062000";"2450.0";"43";"70";"85";"AUTOMATIC"
"1663328280319";"00:00:01.011";"48944336";"2458.0";"43";"48";"85";"AUTOMATIC"
"1663328281319";"00:00:02.011";"44122568";"2454.0";"43";"48";"85";"AUTOMATIC"
"1663328282322";"00:00:03.014";"50831640";"2460.0";"43";"48";"85";"AUTOMATIC"
"1663328283320";"00:00:04.012";"45405160";"2455.0";"43";"48";"85";"AUTOMATIC"
"1663328284322";"00:00:05.014";"38561240";"2450.0";"43";"40";"85";"AUTOMATIC"
"1663328285323";"00:00:06.015";"46435896";"2457.0";"43";"48";"85";"AUTOMATIC"
"1663328286324";"00:00:07.016";"41330304";"2453.0";"43";"48";"85";"AUTOMATIC"
"1663328287324";"00:00:08.016";"48386976";"2459.0";"43";"48";"85";"AUTOMATIC"
"1663328288325";"00:00:09.017";"43152024";"2454.0";"43";"48";"85";"AUTOMATIC"
"1663328289327";"00:00:10.019";"37202992";"2450.0";"43";"48";"85";"AUTOMATIC"
"1663328290327";"00:00:11.019";"46213552";"2458.0";"43";"48";"85";"AUTOMATIC"
"1663328291330";"00:00:12.022";"40729080";"2453.0";"43";"27";"85";"AUTOMATIC"
"1663328292330";"00:00:13.022";"46584576";"2458.0";"43";"48";"85";"AUTOMATIC"
"1663328293330";"00:00:14.022";"41493448";"2453.0";"43";"48";"85";"AUTOMATIC"
"1663328294331";"00:00:15.023";"48052760";"2459.0";"43";"48";"85";"AUTOMATIC"
"1663328295332";"00:00:16.024";"42609152";"2456.0";"43";"48";"85";"AUTOMATIC"
"1663328296333";"00:00:17.025";"37479392";"2451.0";"43";"48";"85";"AUTOMATIC"
"1663328297334";"00:00:18.026";"42678256";"2457.0";"43";"54";"85";"AUTOMATIC"
"1663328298335";"00:00:19.027";"37514088";"2453.0";"43";"48";"85";"AUTOMATIC"
"1663328299336";"00:00:20.028";"44743288";"2459.0";"43";"36";"85";"AUTOMATIC"
