"Timestamp";"Elapsed Time";"Used Memory from Application (bytes)";"Used System`s RAM (MB)";"Used System`s RAM (%)";"Used System`s CPU (%)";"Battery Level";"Profiling Type"
"1663328114880";"00:00:00.004";"15324016";"2410.0";"42";"69";"85";"AUTOMATIC"
"1663328115880";"00:00:01.004";"21592552";"2416.0";"42";"84";"85";"AUTOMATIC"
"1663328116882";"00:00:02.006";"5645752";"2402.0";"42";"50";"85";"AUTOMATIC"
"1663328117882";"00:00:03.006";"7308224";"2403.0";"42";"48";"85";"AUTOMATIC"
"1663328118882";"00:00:04.006";"9498360";"2405.0";"42";"48";"85";"AUTOMATIC"
"1663328119883";"00:00:05.007";"10354056";"2405.0";"42";"48";"85";"AUTOMATIC"
"1663328120884";"00:00:06.008";"10156280";"2405.0";"42";"46";"85";"AUTOMATIC"
"1663328121886";"00:00:07.010";"7501320";"2403.0";"42";"27";"85";"AUTOMATIC"
"1663328122887";"00:00:08.011";"10415360";"2406.0";"42";"38";"85";"AUTOMATIC"
"1663328123887";"00:00:09.011";"6954168";"2403.0";"42";"48";"85";"AUTOMATIC"
"1663328124888";"00:00:10.012";"7370520";"2403.0";"42";"34";"85";"AUTOMATIC"
"1663328125889";"00:00:11.013";"7407848";"2403.0";"42";"48";"85";"AUTOMATIC"
"1663328126891";"00:00:12.015";"9063000";"2405.0";"42";"17";"85";"AUTOMATIC"
"1663328127891";"00:00:13.015";"8835880";"2404.0";"42";"48";"85";"AUTOMATIC"
"1663328128893";"00:00:14.017";"5860328";"2402.0";"42";"27";"85";"AUTOMATIC"
"1663328129893";"00:00:15.017";"6362696";"2403.0";"42";"48";"85";"AUTOMATIC"
"1663328130895";"00:00:16.019";"8131512";"2404.0";"42";"36";"85";"AUTOMATIC"
"1663328131895";"00:00:17.019";"8926344";"2404.0";"42";"48";"85";"AUTOMATIC"
"1663328132896";"00:00:18.020";"10176856";"2406.0";"42";"59";"85";"AUTOMATIC"
"1663328133897";"00:00:19.021";"6704936";"2403.0";"42";"48";"85";"AUTOMATIC"
"1663328134900";"00:00:20.024";"7952088";"2404.0";"42";"17";"85";"AUTOMATIC"
"1663328135100";"00:00:20.224";"7959168";"2404.0";"42";"17";"85";"CHECKPOINT"
