"Timestamp";"Elapsed Time";"Used Memory from Application (bytes)";"Used System`s RAM (MB)";"Used System`s RAM (%)";"Used System`s CPU (%)";"Battery Level";"Profiling Type"
"1663328424139";"00:00:00.009";"25684920";"2441.0";"43";"69";"85";"AUTOMATIC"
"1663328425139";"00:00:01.009";"29524528";"2444.0";"43";"48";"85";"AUTOMATIC"
"1663328426140";"00:00:02.010";"14648304";"2430.0";"43";"36";"85";"AUTOMATIC"
"1663328427141";"00:00:03.011";"20157840";"2436.0";"43";"48";"85";"AUTOMATIC"
"1663328428142";"00:00:04.012";"25237952";"2441.0";"43";"46";"85";"AUTOMATIC"
"1663328429143";"00:00:05.013";"12016904";"2428.0";"43";"48";"85";"AUTOMATIC"
"1663328430144";"00:00:06.014";"17528136";"2433.0";"43";"50";"85";"AUTOMATIC"
"1663328431145";"00:00:07.015";"23590416";"2438.0";"43";"48";"85";"AUTOMATIC"
"1663328432146";"00:00:08.016";"28003712";"2443.0";"43";"22";"85";"AUTOMATIC"
"1663328433147";"00:00:09.017";"14372880";"2430.0";"43";"48";"85";"AUTOMATIC"
"1663328434148";"00:00:10.018";"20320616";"2435.0";"43";"48";"85";"AUTOMATIC"
"1663328435149";"00:00:11.019";"24467960";"2439.0";"43";"48";"85";"AUTOMATIC"
"1663328436151";"00:00:12.021";"29803648";"2445.0";"43";"17";"85";"AUTOMATIC"
"1663328437135";"00:00:13.005";"29810728";"2444.0";"43";"17";"85";"CHECKPOINT"
