"Timestamp";"Elapsed Time";"Used Memory from Application (bytes)";"Used System`s RAM (MB)";"Used System`s RAM (%)";"Used System`s CPU (%)";"Battery Level";"Profiling Type"
"1663222354700";"00:00:00.011";"43536008";"2331.0";"41";"69";"97";"AUTOMATIC"
"1663222355703";"00:00:01.014";"43592552";"2331.0";"41";"17";"97";"AUTOMATIC"
"1663222356704";"00:00:02.015";"43599632";"2331.0";"41";"17";"97";"AUTOMATIC"
"1663222357708";"00:00:03.019";"43606712";"2331.0";"41";"17";"97";"AUTOMATIC"
"1663222358711";"00:00:04.022";"43613792";"2331.0";"41";"17";"97";"AUTOMATIC"
"1663222359715";"00:00:05.026";"43620872";"2331.0";"41";"17";"97";"AUTOMATIC"
"1663222360719";"00:00:06.030";"43627952";"2331.0";"41";"17";"97";"AUTOMATIC"
"1663222361723";"00:00:07.034";"43635032";"2332.0";"41";"17";"97";"AUTOMATIC"
"1663222362726";"00:00:08.037";"43642112";"2332.0";"41";"17";"97";"AUTOMATIC"
"1663222363731";"00:00:09.042";"43649192";"2332.0";"41";"17";"97";"AUTOMATIC"
"1663222364731";"00:00:10.042";"12516336";"2301.0";"40";"48";"97";"AUTOMATIC"
"1663222365731";"00:00:11.042";"14135160";"2304.0";"40";"48";"97";"AUTOMATIC"
"1663222366732";"00:00:12.043";"8169752";"2298.0";"40";"48";"97";"AUTOMATIC"
"1663222367736";"00:00:13.047";"14720920";"2305.0";"40";"17";"97";"AUTOMATIC"
"1663222368739";"00:00:14.050";"14744384";"2305.0";"40";"17";"97";"AUTOMATIC"
"1663222369743";"00:00:15.054";"14751464";"2305.0";"40";"17";"97";"AUTOMATIC"
"1663222370743";"00:00:16.054";"11543360";"2302.0";"40";"48";"97";"AUTOMATIC"
"1663222371744";"00:00:17.055";"13360192";"2304.0";"40";"48";"97";"AUTOMATIC"
"1663222372744";"00:00:18.055";"15158384";"2306.0";"40";"48";"97";"AUTOMATIC"
"1663222373747";"00:00:19.058";"8442920";"2300.0";"40";"27";"97";"AUTOMATIC"
"1663222374748";"00:00:20.059";"8482768";"2300.0";"40";"17";"97";"AUTOMATIC"
"1663222375752";"00:00:21.063";"8489848";"2300.0";"40";"17";"97";"AUTOMATIC"
"1663222376752";"00:00:22.063";"14174928";"2306.0";"40";"48";"97";"AUTOMATIC"
"1663222377752";"00:00:23.063";"8416448";"2301.0";"40";"48";"97";"AUTOMATIC"
"1663222378753";"00:00:24.064";"10248272";"2303.0";"40";"48";"97";"AUTOMATIC"
"1663222379755";"00:00:25.066";"9651808";"2302.0";"40";"17";"97";"AUTOMATIC"
"1663222380757";"00:00:26.068";"9675272";"2302.0";"40";"17";"97";"AUTOMATIC"
"1663222381761";"00:00:27.072";"9682352";"2302.0";"40";"17";"97";"AUTOMATIC"
"1663222382761";"00:00:28.072";"8255536";"2301.0";"40";"48";"97";"AUTOMATIC"
"1663222383762";"00:00:29.073";"9926416";"2303.0";"40";"48";"97";"AUTOMATIC"
"1663222384763";"00:00:30.074";"11725328";"2305.0";"40";"48";"97";"AUTOMATIC"
"1663222385766";"00:00:31.077";"10746080";"2304.0";"40";"17";"97";"AUTOMATIC"
"1663222386770";"00:00:32.081";"10769544";"2304.0";"40";"17";"97";"AUTOMATIC"
"1663222387774";"00:00:33.085";"10776624";"2304.0";"40";"17";"97";"AUTOMATIC"
"1663222388774";"00:00:34.085";"10131136";"2303.0";"40";"48";"97";"AUTOMATIC"
"1663222389775";"00:00:35.086";"11858456";"2305.0";"40";"60";"97";"AUTOMATIC"
"1663222390775";"00:00:36.086";"13657192";"2307.0";"40";"48";"97";"AUTOMATIC"
"1663222391780";"00:00:37.091";"11862904";"2305.0";"40";"17";"97";"AUTOMATIC"
"1663222392782";"00:00:38.093";"11869984";"2305.0";"40";"17";"97";"AUTOMATIC"
"1663222393786";"00:00:39.097";"11877064";"2305.0";"40";"17";"97";"AUTOMATIC"
"1663222394786";"00:00:40.097";"11649488";"2305.0";"40";"48";"97";"AUTOMATIC"
"1663222395787";"00:00:41.098";"13449336";"2307.0";"40";"48";"97";"AUTOMATIC"
"1663222396790";"00:00:42.101";"7698768";"2302.0";"40";"48";"97";"AUTOMATIC"
"1663222397792";"00:00:43.103";"13018800";"2307.0";"40";"17";"97";"AUTOMATIC"
"1663222398794";"00:00:44.105";"13025880";"2307.0";"40";"17";"97";"AUTOMATIC"
"1663222399798";"00:00:45.109";"13032960";"2307.0";"40";"17";"97";"AUTOMATIC"
"1663222400799";"00:00:46.110";"13960264";"2306.0";"40";"48";"97";"AUTOMATIC"
"1663222401799";"00:00:47.110";"8310952";"2301.0";"40";"48";"97";"AUTOMATIC"
"1663222402800";"00:00:48.111";"10176184";"2302.0";"40";"48";"97";"AUTOMATIC"
"1663222403802";"00:00:49.113";"14299320";"2306.0";"40";"17";"97";"AUTOMATIC"
"1663222404804";"00:00:50.115";"14322784";"2306.0";"40";"17";"97";"AUTOMATIC"
"1663222405805";"00:00:51.116";"14381512";"2306.0";"40";"50";"97";"AUTOMATIC"
"1663222406805";"00:00:52.116";"14132432";"2306.0";"40";"48";"97";"AUTOMATIC"
"1663222407806";"00:00:53.117";"8632784";"2301.0";"40";"48";"97";"AUTOMATIC"
"1663222408807";"00:00:54.118";"10498128";"2303.0";"40";"48";"97";"AUTOMATIC"
"1663222409811";"00:00:55.122";"8404672";"2301.0";"40";"17";"97";"AUTOMATIC"
"1663222410813";"00:00:56.124";"8428136";"2301.0";"40";"17";"97";"AUTOMATIC"
"1663222411814";"00:00:57.125";"8435216";"2302.0";"40";"17";"97";"AUTOMATIC"
"1663222412815";"00:00:58.126";"8521944";"2301.0";"40";"48";"97";"AUTOMATIC"
"1663222413816";"00:00:59.127";"10264752";"2304.0";"40";"48";"97";"AUTOMATIC"
"1663222414816";"00:01:00.127";"12063312";"2305.0";"40";"48";"97";"AUTOMATIC"
"1663222415818";"00:01:01.129";"9603808";"2304.0";"40";"17";"97";"AUTOMATIC"
"1663222416823";"00:01:02.134";"9610888";"2304.0";"40";"17";"97";"AUTOMATIC"
"1663222417823";"00:01:03.134";"10319280";"2304.0";"40";"38";"97";"AUTOMATIC"
"1663222418824";"00:01:04.135";"11933080";"2306.0";"40";"48";"97";"AUTOMATIC"
"1663222419824";"00:01:05.135";"13542608";"2307.0";"40";"48";"97";"AUTOMATIC"
"1663222420825";"00:01:06.136";"7691896";"2302.0";"40";"48";"97";"AUTOMATIC"
"1663222421827";"00:01:07.138";"10550680";"2306.0";"40";"69";"97";"AUTOMATIC"
"1663222422829";"00:01:08.140";"10557808";"2305.0";"40";"17";"97";"AUTOMATIC"
"1663222423829";"00:01:09.140";"12783832";"2307.0";"40";"48";"97";"AUTOMATIC"
"1663222424830";"00:01:10.141";"14445792";"2309.0";"40";"48";"97";"AUTOMATIC"
"1663222425831";"00:01:11.142";"8696128";"2304.0";"40";"48";"97";"AUTOMATIC"
"1663222426832";"00:01:12.143";"10494896";"2306.0";"40";"48";"97";"AUTOMATIC"
"1663222427833";"00:01:13.144";"11607728";"2307.0";"40";"65";"97";"AUTOMATIC"
"1663222428837";"00:01:14.148";"11625056";"2307.0";"40";"17";"97";"AUTOMATIC"
"1663222429838";"00:01:15.149";"14256688";"2309.0";"40";"48";"97";"AUTOMATIC"
"1663222430838";"00:01:16.149";"8357240";"2304.0";"40";"48";"97";"AUTOMATIC"
"1663222431840";"00:01:17.151";"10139336";"2306.0";"40";"48";"97";"AUTOMATIC"
